tweet_id,favorite_count,retweet_count
892420643555336193,33664,6961
892177421306343426,29190,5266
891815181378084864,21957,3463
891689557279858688,36716,7178
891327558926688256,35148,7707
891087950875897856,17712,2580
890971913173991426,10320,1644
890729181411237888,56552,15666
890609185150312448,24393,3599
890240255349198849,27827,6060
890006608113172480,26908,6105
889880896479866881,24453,4137
889665388333682689,41839,8294
889638837579907072,23559,3695
889531135344209921,13298,1873
889278841981685760,22010,4414
888917238123831296,25510,3739
888804989199671297,22354,3508
888554962724278272,17238,2859
888078434458587136,19084,2882
887705289381826560,26498,4514
887517139158093824,40552,9802
887473957103951883,59908,14940
887343217045368832,29466,8769
887101392804085760,26877,4965
886983233522544640,30216,6281
886736880519319552,10451,2609
886680336477933568,19634,3717
886366144734445568,18463,2610
886267009285017600,105,4
886258384151887873,24419,5246
886054160059072513,0,93
885984800019947520,28446,5585
885528943205470208,31448,5303
885518971528720385,17933,3095
885311592912609280,0,15348
885167619883638784,19166,3649
884925521741709313,66833,14925
884876753390489601,24283,4635
884562892145688576,21213,3891
884441805382717440,23768,4774
884247878851493888,62928,16798
884162670584377345,17868,2493
883838122936631299,19069,2847
883482846933004288,40011,8212
883360690899218434,19856,3059
883117836046086144,32336,5508
882992080364220416,20890,3225
882762694511734784,24666,4071
882627270321602560,24504,5037
882268110199369728,39001,9572
882045870035918850,25603,4061
881906580714921986,21353,2836
881666595344535552,44331,8902
881633300179243008,113,8
881536004380872706,43252,13332
881268444196462592,20413,4476
880935762899988482,14985,2325
880872448815771648,18628,3191
880465832366813184,24888,5187
880221127280381952,23562,3443
880095782870896641,24215,3633
879862464715927552,19620,2912
879674319642796034,281,9
879492040517615616,20621,2617
879415818425184262,92394,37218
879376492567855104,14790,2632
879130579576475649,0,5705
879050749262655488,19725,3931
879008229531029506,16705,2230
878776093423087618,17078,3414
878604707211726852,26330,5893
878404777348136964,0,1066
878316110768087041,0,5497
878281511006478336,6750,1068
878057613040115712,36971,5705
877736472329191424,68967,15714
877611172832227328,0,70
877556246731214848,19817,3148
877316821321428993,24031,4318
877201837425926144,23775,4599
876838120628539392,18147,2792
876537666061221889,20982,3958
876484053909872640,16495,1987
876120275196170240,24589,3885
875747767867523072,22010,3562
875144289856114688,19348,4130
875097192612077568,24148,5091
875021211251597312,22469,3952
874680097055178752,24497,3902
874434818259525634,0,12149
874296783580663808,22860,3465
874057562936811520,20034,3365
874012996292530176,30001,8540
873580283840344065,21296,3331
873337748698140672,0,1324
873213775632977920,6294,1324
872967104147763200,23959,4543
872820683541237760,13010,3156
872620804844003328,18255,3055
872486979161796608,35951,7678
872122724285648897,30056,6796
871879754684805121,32937,9199
871762521631449091,17800,2954
871515927908634625,17837,2924
871166179821445120,0,4874
871102520638267392,18474,4646
